  kx         ky         kz
  2.312471   0.355358   -3.975076  
  2.085465   0.561033   -3.975076  
  1.872850   0.749708   -3.975076  
  1.672096   0.932226   -3.975076  
  1.480325   1.112958   -3.975076  
  1.294806   1.294806   -3.975076  
  1.294806   1.294806   -3.975076  
  1.112958   1.480325   -3.975076  
  0.932226   1.672096   -3.975076  
  0.749708   1.872850   -3.975076  
  0.561033   2.085465   -3.975076  
  0.355358   2.312471   -3.975076  
  0.034958   2.544125   -3.975076  
  -0.034958   2.544125   -3.975076  
  -0.355358   2.312471   -3.975076  
  -0.561033   2.085465   -3.975076  
  -0.749708   1.872850   -3.975076  
  -0.932226   1.672096   -3.975076  
  -1.112958   1.480325   -3.975076  
  -1.294806   1.294806   -3.975076  
  -1.294806   1.294806   -3.975076  
  -1.480325   1.112958   -3.975076  
  -1.672096   0.932226   -3.975076  
  -1.872850   0.749708   -3.975076  
  -2.085465   0.561033   -3.975076  
  -2.312471   0.355358   -3.975076  
  -2.544125   0.034958   -3.975076  
  -2.544125   -0.034958   -3.975076  
  -2.312471   -0.355358   -3.975076  
  -2.085465   -0.561033   -3.975076  
  -1.872850   -0.749708   -3.975076  
  -1.672096   -0.932226   -3.975076  
  -1.480325   -1.112958   -3.975076  
  -1.294806   -1.294806   -3.975076  
  -1.294806   -1.294806   -3.975076  
  -1.112958   -1.480325   -3.975076  
  -0.932226   -1.672096   -3.975076  
  -0.749708   -1.872850   -3.975076  
  -0.561033   -2.085465   -3.975076  
  -0.355358   -2.312471   -3.975076  
  -0.034958   -2.544125   -3.975076  
  0.034958   -2.544125   -3.975076  
  0.355358   -2.312471   -3.975076  
  0.561033   -2.085465   -3.975076  
  0.749708   -1.872850   -3.975076  
  0.932226   -1.672096   -3.975076  
  1.112958   -1.480325   -3.975076  
  1.294806   -1.294806   -3.975076  
  1.294806   -1.294806   -3.975076  
  1.480325   -1.112958   -3.975076  
  1.672096   -0.932226   -3.975076  
  1.872850   -0.749708   -3.975076  
  2.085465   -0.561033   -3.975076  
  2.312471   -0.355358   -3.975076  
  2.544125   -0.034958   -3.975076  
  2.544125   0.034958   -3.975076  


  2.574400   0.024628   -3.718620  
  2.336520   0.351324   -3.718620  
  2.103508   0.556080   -3.718620  
  1.885445   0.744575   -3.718620  
  1.679808   0.927855   -3.718620  
  1.483808   1.110315   -3.718620  
  1.294806   1.294806   -3.718620  
  1.294806   1.294806   -3.718620  
  1.110315   1.483808   -3.718620  
  0.927855   1.679808   -3.718620  
  0.744575   1.885445   -3.718620  
  0.556080   2.103508   -3.718620  
